date;Germany;India;US
2020-01-22;0;0;1
2020-01-23;0;0;1
2020-01-24;0;0;2
2020-01-25;0;0;2
2020-01-26;0;0;5
2020-01-27;1;0;5
2020-01-28;4;0;5
2020-01-29;4;0;6
2020-01-30;4;1;6
2020-01-31;5;1;8
2020-02-01;8;1;8
2020-02-02;10;2;8
2020-02-03;12;3;11
2020-02-04;12;3;11
2020-02-05;12;3;11
2020-02-06;12;3;12
2020-02-07;13;3;12
2020-02-08;13;3;12
2020-02-09;14;3;12
2020-02-10;14;3;12
2020-02-11;16;3;13
2020-02-12;16;3;13
2020-02-13;16;3;14
2020-02-14;16;3;14
2020-02-15;16;3;14
2020-02-16;16;3;14
2020-02-17;16;3;14
2020-02-18;16;3;14
2020-02-19;16;3;14
2020-02-20;16;3;14
2020-02-21;16;3;16
2020-02-22;16;3;16
2020-02-23;16;3;16
2020-02-24;16;3;16
2020-02-25;16;3;16
2020-02-26;21;3;16
2020-02-27;26;3;17
2020-02-28;53;3;17
2020-02-29;66;3;25
2020-03-01;117;3;32
2020-03-02;150;5;55
2020-03-03;188;5;74
2020-03-04;240;28;107
2020-03-05;349;30;184
2020-03-06;534;31;237
2020-03-07;684;34;403
2020-03-08;847;39;519
2020-03-09;1112;43;594
2020-03-10;1296;56;782
2020-03-11;1567;62;1147
2020-03-12;2369;73;1586
2020-03-13;3062;82;2219
2020-03-14;3795;102;2978
2020-03-15;4838;113;3212
2020-03-16;6012;119;4679
2020-03-17;7156;142;6512
2020-03-18;8198;156;9169
2020-03-19;10999;194;13663
2020-03-20;13957;244;20030
2020-03-21;16662;330;26025
2020-03-22;18610;396;34944
2020-03-23;22672;499;46096
2020-03-24;27436;536;56714
2020-03-25;31554;657;68841
2020-03-26;36508;727;86662
2020-03-27;42288;887;105253
2020-03-28;48582;987;127417
2020-03-29;52547;1024;143544
2020-03-30;57298;1251;165698
2020-03-31;61913;1397;192079
2020-04-01;67366;1998;223254
2020-04-02;73522;2543;255530
2020-04-03;79696;2567;287931
2020-04-04;85778;3082;319776
2020-04-05;91714;3588;349016
2020-04-06;95391;4778;380798
2020-04-07;99225;5311;410834
2020-04-08;103228;5916;441897
2020-04-09;108202;6725;477507
2020-04-10;113525;7598;511790
2020-04-11;117658;8446;540714
2020-04-12;120479;9205;567022
2020-04-13;123016;10453;594165
2020-04-14;125098;11487;622493
2020-04-15;127584;12322;648390
2020-04-16;130450;13430;678028
2020-04-17;133830;14352;711135
2020-04-18;137439;15722;738464
2020-04-19;139897;17615;763886
2020-04-20;141672;18539;793970
2020-04-21;143457;20080;820045
2020-04-22;145694;21370;849926
2020-04-23;148046;23077;881891
2020-04-24;150383;24530;913856
2020-04-25;152438;26283;944770
2020-04-26;154175;27890;970741
2020-04-27;155193;29451;995391
2020-04-28;156337;31324;1019964
2020-04-29;157641;33062;1046816
2020-04-30;159119;34863;1076518
2020-05-01;160758;37257;1111410
2020-05-02;161703;39699;1138174
2020-05-03;162496;42505;1161907
2020-05-04;163175;46437;1185709
2020-05-05;163860;49400;1209727
2020-05-06;164807;52987;1234209
2020-05-07;166091;56351;1261948
2020-05-08;167300;59695;1289131
2020-05-09;168551;62808;1313585
2020-05-10;169218;67161;1332332
2020-05-11;169575;70768;1351409
2020-05-12;170508;74292;1374790
2020-05-13;171306;78055;1394805
2020-05-14;172239;81997;1420695
2020-05-15;173152;85784;1445546
2020-05-16;173772;90648;1469596
2020-05-17;174355;95698;1488325
2020-05-18;174697;100328;1510633
2020-05-19;175210;106475;1531136
2020-05-20;176007;112028;1553962
2020-05-21;176752;118226;1579114
2020-05-22;177212;124794;1602943
2020-05-23;177850;131423;1623132
2020-05-24;178281;138536;1643306
2020-05-25;178570;144950;1662400
2020-05-26;179002;150793;1681126
2020-05-27;179364;158086;1699889
2020-05-28;179717;165386;1721156
2020-05-29;180458;173491;1746238
2020-05-30;181196;181827;1769318
2020-05-31;181482;190609;1788237
2020-06-01;181815;198370;1806077
2020-06-02;182028;207191;1826167
2020-06-03;182370;216824;1845323
2020-06-04;182764;226713;1873257
2020-06-05;183271;236184;1899697
2020-06-06;183678;246622;1919966
2020-06-07;183979;257486;1937792
2020-06-08;184193;265928;1954692
2020-06-09;184543;276146;1975013
2020-06-10;184861;286605;1996731
2020-06-11;185416;297535;2019009
2020-06-12;185674;308993;2044567
2020-06-13;186022;320922;2068724
2020-06-14;186269;332424;2087625
2020-06-15;186461;343091;2108624
2020-06-16;186839;354065;2133173
2020-06-17;187184;366946;2160223
2020-06-18;187764;380532;2188450
2020-06-19;188534;395048;2219504
2020-06-20;189135;410451;2251330
2020-06-21;189822;425282;2277166
2020-06-22;190359;440215;2306967
2020-06-23;190862;456183;2345696
2020-06-24;191449;473105;2381947
2020-06-25;192079;490401;2421246
2020-06-26;192556;508953;2470292
2020-06-27;193243;528859;2511046
2020-06-28;193499;548318;2553971
2020-06-29;193761;566840;2595266
2020-06-30;194259;585481;2645090
2020-07-01;194725;604641;2694213
2020-07-02;195228;625544;2749156
2020-07-03;195674;648315;2800660
2020-07-04;196096;673165;2846606
2020-07-05;196335;697413;2900334
2020-07-06;196554;719664;2943499
2020-07-07;196944;742417;3000730
2020-07-08;197341;767296;3061036
2020-07-09;197783;793802;3120692
2020-07-10;198178;820916;3189551
2020-07-11;198556;849522;3249990
2020-07-12;198804;878254;3310122
2020-07-13;198963;906752;3369486
2020-07-14;199375;936181;3435148
2020-07-15;199726;968857;3501174
2020-07-16;200260;1003832;3571988
2020-07-17;200843;1039084;3638460
2020-07-18;201372;1077781;3702782
2020-07-19;201574;1118206;3761714
2020-07-20;201823;1155338;3822377
2020-07-21;202345;1193078;3890571
2020-07-22;202799;1238798;3958116
2020-07-23;203368;1288108;4026001
2020-07-24;204183;1337024;4101148
2020-07-25;204964;1385635;4165348
2020-07-26;205269;1435616;4221187
2020-07-27;205609;1480073;4280911
2020-07-28;206242;1531669;4345741
